,Hour,Temp_C,RH,VPD
0,0.0,28.48,67.958,1.269
1,1.0,27.662,68.068,1.196
2,2.0,27.076,69.564,1.102
3,3.0,26.564,71.331,1.004
4,4.0,25.974,73.59,0.892
5,5.0,25.527,74.596,0.834
6,6.0,21.406,80.855,0.493
7,7.0,24.123,72.822,0.848
8,8.0,26.533,66.85,1.222
9,9.0,29.896,59.486,1.828
10,10.0,33.303,50.786,2.723
11,11.0,34.623,46.454,3.109
12,12.0,37.264,40.355,3.911
13,13.0,38.11,37.37,4.242
14,14.0,35.571,43.617,3.593
15,15.0,35.425,44.959,3.635
16,16.0,35.018,44.072,3.578
17,17.0,34.893,41.283,3.444
18,18.0,33.33,45.185,3.001
19,19.0,31.57,52.115,2.392
20,20.0,32.037,59.568,2.019
21,21.0,30.102,61.709,1.733
22,22.0,29.104,64.529,1.534
23,23.0,28.36,67.053,1.357
