Sample_ID,Concentration_N,Concentration_U,RAU
RV2_01,11.294133198603058,40.21603873494849,78.0739749555242
RV2_02,29.766003607003505,56.922103006516195,65.66310562104115
RV2_03,43.07492887019886,101.92619451359653,70.29338265457004
RV2_04,47.6642134437145,66.21272038203088,58.14410184537429
RV2_05,8.19636611148,19.162988351901426,70.0418146837117
RV2_06,8.540562454493672,18.992518308314,68.98072348652512
RV2_07,10.37627628389993,51.29659156813115,83.17529791415691
RV2_08,55.12180087567741,77.80468334597582,58.53211555361496
RV2_09,23.22627308974372,159.71553928973378,87.30401060990623
RV2_10,33.437431265816016,39.022748429836504,53.85405969698112
RV2_11,15.42448931476713,55.89928274499164,78.37398546189664
RV2_12,44.10751789923988,39.87509864777364,47.48018136045039
RV2_13,10.60574051257571,32.71535681710175,75.5183013212591
RV2_14,29.192343035314053,27.94219559665384,48.905961727709894
RV2_15,22.996808861067937,40.983153931091906,64.05623283062305
RV2_16,36.87939469595274,50.69994641557516,57.89030354888298
RV2_17,8.19636611148,71.41205671144736,89.70414709796331
RV2_18,51.56510533120279,80.19126395619978,60.86329214284672
RV2_19,11.064668969927274,29.646896032528097,72.82180390446806
RV2_20,10.835204741251491,42.2616792579976,79.59352051354892
RV2_21,27.356629205907797,30.414011228671512,52.64613824579803
RV2_22,41.12448292645472,48.483835848938625,54.10640051228414
RV2_23,7.0490449681010885,20.526748700600827,74.43756269433636
RV2_24,45.71376749997036,68.08789086149257,59.830315165731726
RV2_25,8.884758797507347,60.842914009026984,87.25791577447464
RV2_26,16.68654257248393,63.570434706425786,79.20860822543226
RV2_27,70.03697573960325,124.34300524534301,63.969038691784185
RV2_28,27.58609343458358,69.0254761012234,71.44638725245076
RV_01,73.58837592717578,192.21972970248135,72.31522501811726
RV_02,103.19241436740504,229.92406856437893,69.02212299457517
RV_03,50.047815239764546,366.1759336936811,87.97574252598277
RV_04,116.03272019690208,127.68907639361018,52.3913241162202
RV_05,81.67301293093315,93.026896901988,53.2495391617298
RV_06,80.84077088642873,213.0539120564883,72.49328566378644
RV_07,103.667981249979,181.71045187789377,63.67350534736194
RV_08,88.33094928696866,189.8228768652947,68.24384891307743
RV_09,67.40600645371424,197.56655526235926,74.56113719203049
RV_10,99.9823379100308,189.7306902177106,65.48918129220402
RV_11,78.22515303227192,115.79699885526111,59.68235983816119
RV_12,79.77074540063731,241.44739951239163,75.1661770469923
RV_13,110.92037620923197,134.60307496241782,54.8228995316274
RV_14,72.99391732395831,205.9555401925125,73.83256523463633
RV_15,42.43874511858112,213.69921858957704,83.43129440705029
RV_16,65.50373892341837,199.5024748616254,75.28218754276047
RV_17,60.0347197738178,117.27198521660674,66.14075041490396
RV_18,75.37175173682814,147.14045903385562,66.12691434965579
RV_19,75.60953517811511,155.0685107260884,67.22291673585859
RV_20,157.16925553954997,113.49233266565855,41.931451528915005
RV_21,75.25286001618466,189.17757033220602,71.54152798638265
RV_22,86.19089831538584,146.21859255801462,62.91420888558451
RV_23,111.03926792987545,107.40801392510784,49.16884889252634
RV_24,136.71987958886953,146.31077920559875,51.694321678361696
RV_25,53.2578916971388,139.21240734162288,72.32929342183171
RV_26,104.38133157383996,92.75033695923568,47.04994263449539
RV_27,90.4710002585515,131.00779570663786,59.15139421618891
RV_28,84.64530594702043,135.52494143825882,61.55461196403239
