	Pressure	WC	K_sat
0	0.0	0.3748	9e-05
1	1.41	0.3748	8.68e-05
2	1.68	0.3748	8.63e-05
3	2.0	0.3748	8.57e-05
4	2.37	0.3748	8.51e-05
5	2.82	0.3748	8.44e-05
6	3.35	0.3747	8.36e-05
7	3.98	0.3747	8.26e-05
8	4.73	0.3747	8.15e-05
9	5.62	0.3746	8.03e-05
10	6.68	0.3746	7.89e-05
11	7.94	0.3745	7.73e-05
12	9.44	0.3744	7.54e-05
13	11.2	0.3742	7.33e-05
14	13.3	0.374	7.1e-05
15	15.8	0.3737	6.83e-05
16	18.8	0.3733	6.53e-05
17	22.4	0.3727	6.2e-05
18	26.6	0.372	5.83e-05
19	31.6	0.3709	5.42e-05
20	37.6	0.3696	4.97e-05
21	44.7	0.3677	4.49e-05
22	53.1	0.3653	3.98e-05
23	63.1	0.3621	3.45e-05
24	75.0	0.3579	2.91e-05
25	89.1	0.3526	2.38e-05
26	106.0	0.3459	1.88e-05
27	126.0	0.3377	1.43e-05
28	150.0	0.328	1.04e-05
29	178.0	0.3167	7.22e-06
30	211.0	0.3041	4.78e-06
31	251.0	0.2906	3.03e-06
32	299.0	0.2765	1.84e-06
33	355.0	0.2622	1.07e-06
34	422.0	0.2483	6.07e-07
35	501.0	0.235	3.34e-07
36	596.0	0.2226	1.79e-07
37	708.0	0.2112	9.46e-08
38	841.0	0.2008	4.92e-08
39	1000.0	0.1915	2.54e-08
40	1190.0	0.1832	1.3e-08
41	1410.0	0.1759	6.58e-09
42	1680.0	0.1695	3.32e-09
43	2000.0	0.1638	1.67e-09
44	2370.0	0.1588	8.41e-10
45	2820.0	0.1545	4.22e-10
46	3350.0	0.1507	2.11e-10
47	3980.0	0.1474	1.06e-10
48	4730.0	0.1446	5.29e-11
49	5620.0	0.1421	2.64e-11
50	6680.0	0.1399	1.32e-11
51	7940.0	0.138	6.59e-12
52	9440.0	0.1363	3.29e-12
53	11200.0	0.1349	1.64e-12
54	13300.0	0.1337	8.2e-13
55	15800.0	0.1326	4.1e-13
56	18800.0	0.1316	2.04e-13
57	22400.0	0.1308	1.02e-13
58	26600.0	0.1301	5.09e-14
59	31600.0	0.1295	2.54e-14
60	37600.0	0.1289	1.27e-14
61	44700.0	0.1285	6.33e-15
62	53100.0	0.1281	3.16e-15
63	63100.0	0.1277	1.58e-15
64	75000.0	0.1274	7.87e-16
65	89100.0	0.1271	3.93e-16
66	106000.0	0.1269	1.96e-16
67	126000.0	0.1267	9.78e-17
68	150000.0	0.1265	4.88e-17
69	178000.0	0.1264	2.43e-17
70	211000.0	0.1262	1.22e-17
71	251000.0	0.1261	6.06e-18
72	298000.0	0.126	3.03e-18
73	355000.0	0.1259	1.51e-18
74	422000.0	0.1259	7.54e-19
75	501000.0	0.1258	3.76e-19
